Semester,Sl No,Course_Code,Subject Name,Module1 Heading,Module1 Syllabus,Module2 Heading,Module2 Syllabus,Module3 Heading,Module3 Syllabus,Module4 Heading,Module4 Syllabus,Module5 Heading,Module5 Syllabus,Module6 heading,Module6 syllabus
S6,1,CSL 362,Programming In Python,Programming Environment and Python Basics,"Getting started with Python programming – Interactive shell, IDLE, iPython Notebooks, Detecting and correcting syntax errors, How Python works. The software development process – A case study. Basic coding skills – strings, assignment, and comments, Numeric data types and character sets, Expressions, Using inbuilt functions and modules. Control statements – Iteration with for/while loop, Formatting text for output, A case study, Selection structure (if-else, switch-case), Conditional iteration with while, A case study, Testing control statements, Lazy evaluation.",Building Python Programs,"Strings and text files – Accessing characters, substrings, Data encryption, Strings and number system, String methods, Text files, A case study on text analysis. Design with Functions – Functions as Abstraction Mechanisms, Problem-solving with top-down design, Design with recursive functions, Managing a program’s namespace, Higher-Order Functions. Lists - Basic list Operations and functions, List of lists, Slicing, Searching and sorting list, List comprehension. Work with tuples. Sets. Work with dates and times, A case study with lists. Dictionaries - Dictionary functions, dictionary literals, adding and removing keys, accessing and replacing values, traversing dictionaries, reverse lookup. Case Study – Data Structure Selection. 
",Graphics,"Graphics – Terminal-based programs, Simple Graphics using Turtle, Operations, 2D Shapes, Colors and RGB Systems, A case study. Image Processing – Basic image processing with inbuilt functions. Graphical User Interfaces – Event-driven programming, Coding simple GUI-based programs : Windows, Labels, Displaying images, Input text entry, Popup dialog boxes, Command buttons, A case study. ",Object Oriented Programming,"Design with classes - Objects and Classes, Methods, Instance variables, Constructor, Accessor and Mutator, Data-Modeling Examples, Structuring classes with inheritance and polymorphism. Abstract classes, Interfaces, Exceptions - Handle a single exception, handle multiple exceptions.  ",Data Processing,"The os and sys modules, NumPy - Basics, Creating arrays, Arithmetic, Slicing, Matrix Operations, Random numbers. Plotting and visualization. Matplotlib - Basic plot, Ticks, Labels, and Legends. Working with CSV files. – Pandas - Reading, Manipulating, and Processing Data. Introduction to Micro services using Flask.",,
S6,2,CST 304,Computer Graphics and Image Processing,Basics of Computer graphics and Algorithms,"Basics of Computer Graphics and its applications. Video Display devices- Refresh Cathode Ray Tubes, Random Scan Displays and systems, Raster scan displays and systems. Line drawing algorithms- DDA, Bresenham’s algorithm. Circle drawing algorithms- Midpoint Circle generation algorithm, Bresenham’s algorithm.",Filled Area Primitives and transformations,"Filled Area Primitives- Scan line polygon filling, Boundary filling and flood filling. Two dimensional transformations-Translation, Rotation, Scaling, Reflection and Shearing, Composite transformations, Matrix representations and homogeneous coordinates. Basic 3D transformations. ",Clipping and Projections,"Window to viewport transformation. Cohen Sutherland Line clipping algorithm. Sutherland Hodgeman Polygon clipping algorithm. Three dimensional viewing pipeline. Projections- Parallel and Perspective projections. Visible surface detection algorithms- Depth buffer algorithm, Scan line algorithm.",Fundamentals of Digital Image Processing,"Introduction to Image processing and applications. Image as 2D data. Image representation in Gray scale, Binary and Colour images. Fundamental steps in image processing. Components of image processing system. Coordinate conventions. Sampling and quantization. Spatial and Gray Level Resolution. Basic relationship between pixels– neighbourhood, adjacency, connectivity. Fundamentals of spatial domain-convolution operation.",Image Enhancement in Spatial Domain and Image Segmentation,"Basic gray level transformation functions - Log transformations, Power-Law transformations, Contrast stretching. Histogram equalization. Basics of spatial filtering - Smoothing spatial filterLinear and nonlinear filters, and Sharpening spatial filters-Gradient and Laplacian. Fundamentals of Image Segmentation. Thresholding - Basics of Intensity thresholding and Global Thresholding. Region based Approach - Region Growing, Region Splitting and Merging. Edge Detection - Edge Operators- Sobel and Prewitt.",,
S6,3,CST 306,Algorithm Analysis And  Design,Introduction to Algorithm Analysis,"Characteristics of Algorithms, Criteria for Analysing Algorithms, Time and Space Complexity - Best, Worst, and Average Case Complexities, Asymptotic Notations - Big-Oh (O), Big- Omega (Ω), Big-Theta (Θ), Little-oh (o) and Little- Omega (ω) and their properties. Classifying functions by their asymptotic growth rate, Time and Space Complexity Calculation of simple algorithms. Analysis of Recursive Algorithms: Recurrence Equations, Solving Recurrence Equations – Iteration Method, Recursion Tree Method, Substitution method, and Master’s Theorem (Proof not required).",Advanced-Data Structures and Graph Algorithms,"Self Balancing Tree - AVL Trees (Insertion and deletion operations with all rotations in detail, algorithms not expected); Disjoint Sets- Disjoint set operations, Union and find algorithms. DFS and BFS traversals - Analysis, Strongly Connected Components of a Directed graph, Topological Sorting.  ",Divide & Conquer and Greedy Strategy,"The Control Abstraction of Divide and Conquer- 2-way Merge sort, Strassen’s Algorithm for Matrix Multiplication-Analysis. The Control Abstraction of Greedy Strategy- Fractional Knapsack Problem, Minimum Cost Spanning Tree Computation- Kruskal’s Algorithms ,Analysis, Single Source Shortest Path Algorithm - Dijkstra’s Algorithm ,Analysis.","Dynamic Programming, Back Tracking and Branch & Bound","The Control Abstraction- The Optimality Principle- Matrix Chain Multiplication-Analysis, All Pairs Shortest Path Algorithm - Floyd-Warshall Algorithm-Analysis. The Control Abstraction of Back Tracking – The N Queen’s Problem. Branch and Bound Algorithm for Travelling Salesman Problem.",Introduction to Complexity Theory,"Tractable and Intractable Problems, Complexity Classes – P, NP, NP- Hard and NP-Complete Classes- NP Completeness proof of Clique Problem and Vertex Cover Problem- Approximation algorithms- Bin Packing, Graph Coloring. Randomized Algorithms (Definitions of Monte Carlo and Las Vegas algorithms), Randomized version of Quick Sort algorithm with analysis.",,
S6,4,CST302,Compiler design,Introduction to compilers and lexical analysis,"Analysis of the source program - Analysis and synthesis phases, Phases of a compiler. Compiler 
writing tools. Bootstrapping. Lexical Analysis - Role of Lexical Analyser, Input Buffering, 
Specification of Tokens, Recognition of Tokens.",Introduction to Syntax Analysis,"Role of the Syntax Analyser – Syntax error handling. Review of Context Free Grammars - 
Derivation and Parse Trees, Eliminating Ambiguity. Basic parsing approaches - Eliminating left 
recursion, left factoring. Top-Down Parsing - Recursive Descent parsing, Predictive Parsing,
LL(1) Grammars.
Module - 3 (Bottom-Up Parsing)
Handle Pruning. Shift Reduce parsing. Operator precedence parsing (Concept only). LR p",Bottom-Up Parsing,"Handle Pruning. Shift Reduce parsing. Operator precedence parsing (Concept only). LR parsing - 
Constructing SLR, LALR and canonical LR parsing tables.","Syntax directed translation and Intermediate code generation
","Syntax directed translation - Syntax directed definitions, S-attributed definitions, L-attributed 
definitions, Bottom-up evaluation of S-attributed definitions. Run-Time Environments - Source 
Language issues, Storage organization, Storage-allocation strategies. Intermediate Code 
Generation - Intermediate languages, Graphical representations, Three-Address code, Quadruples, 
Triples. ",Code Optimization and Generation,"Code Optimization - Principal sources of optimization, Machine dependent and machine 
independent optimizations, Local and global optimizations. Code generation - Issues in the design 
of a code generator, Target Language, A simple code generator.",,
S6,5,CST312,Foundations of Machine Learning,Linear algebra,"Systems of Linear Equations – Matrices, Solving Systems of Linear Equations. Vector Spaces- Linear Independence, Basis and Rank, Linear Mappings.",Linear algebra,"Norms - Inner Products, Lengths and Distances, Angles and Orthogonality. OrthonormalBasis, Orthogonal Complement, Orthogonal Projections. Matrix Decompositions -Eigenvalues and Eigenvectors, Eigen decomposition and Diagonalization.",Probability and distribution,"Probability Space - Sample Spaces, Probability Measures, Computing Probabilities, 
Conditional Probability, Baye’s Rule, Independence. Random Variables - Discrete Random 
Variables (Bernoulli Random Variables, Binomial Distribution, Geometric and Poisson 
Distribution, Continuous Random Variables (Exponential Density, Gamma Density, Normal 
Distribution, Beta Density)",Random variables,"Module 4 (RANDOM VARIABLES) 
Functions of a Random Variable. Joint Distributions - Independent Random Variables, 
Conditional Distributions, Functions of Jointly Distributed Random Variables. 
Expected Values - Expected Value of a Random Variable, Expectations of Functions of 
Random Variables, Expectations of Linear Combinations of Random Variables, Variance and 
Standard Deviation, Covariance and Correlation, Conditional Expectation ",Limit theories,"Moment-Generating Function. Limit Theorems(Proof not expected) - Law of Large Numbers, 
Convergence in Distribution and the Central Limit Theorem. Distributions derived from the 
Normal Distribution - Chi-square, t, and F Distributions, Sample Mean and the Sample 
Variance.",,
S6,6,CST332,Foundations of security in computing,Modular Arithmetic,"Integer arithmetic - Integer division, Divisibility, Greatest Common Divisor (GCD), Euclid's algorithm for GCD, Extended Euclid’s algorithm, Linear Diophantine Equations. Modular  arithmetic - Operations, Properties. Algebraic structures - Groups, Rings, Fields, Finite fields, 
GF(p), GF (2n)
",Prime Numbers and Factorization,"Prime numbers - Prime numbers and prime-power factorization, Fermat and Mersenne primes, 
Fermat’s theorem, Applications, Euler’s theorem, Euler’s totient function, Applications. 
Primality testing – Deterministic algorithms and Probabilistic algorithms. Factorization - 
Fermat’s factorization, Pollard p-1 method","Linear Congruence, Primitive Roots and Elliptic Curve Arithmetic","Linear congruence - Simultaneous linear congruence, Chinese Remainder Theorem (CRT). 
Congruence with a prime - Power modulus, Arithmetic modulo p, Pseudoprimes and Carmichael 
numbers, Solving congruence modulo prime powers. Primitive roots - Existence of primitive 
roots for primes, Discrete logarithms. Elliptic curve arithmetic – Prime curves, Binary curves, 
Addition of two points, Multiplication of a point by a constant.",Computer and Program Security,"Introduction to computer security – Threats, Vulnerabilities, Controls. Browser attack types, Web 
attacks targeting users, Email attack types. Introduction to program security - Non-malicious 
programming oversights, Malware.",Operating System and Database Security,"Operating system security – Security in operating system, Security in design of operating system. 
Database security – Security requirements of databases, Reliability and integrity, Database 
disclosure.",,
S5,7,CST301,Formal languages and automata theory,Introduction to Formal Language Theory and Regular Languages,"Introduction to formal language theory– Alphabets, Strings, Concatenation of strings, 
Languages.
Regular Languages - Deterministic Finite State Automata (DFA) (Proof of correctness of 
construction not required), Nondeterministic Finite State Automata (NFA), Equivalence of 
DFA and NFA, Regular Grammar (RG), Equivalence of RGs and DFA. ",More on Regular Languages,"Regular Expression (RE), Equivalence of REs and DFA, Homomorphisms, Necessary 
conditions for regular languages, Closure Properties of Regular Languages, DFA state 
minimization (No proof required). ",Myhill-Nerode Relations and Context Free Grammars,"Myhill-Nerode Relations (MNR)- MNR for regular languages, Myhill-Nerode Theorem (MNT) 
(No proof required), Applications of MNT. 
Context Free Grammar (CFG)- CFG representation of Context Free Languages (proof of 
correctness is required), derivation trees and ambiguity, Normal forms for CFGs. 
",More on Context-Free Languages,"Nondeterministic Pushdown Automata (PDA), Deterministic Pushdown Automata (DPDA), 
Equivalence of PDAs and CFGs (Proof not required), Pumping Lemma for Context-Free 
Languages (Proof not required), Closure Properties of Context Free Languages.","Context Sensitive Languages, Turing Machines","Context Sensitive Languages - Context Sensitive Grammar (CSG), Linear Bounded Automata.
Turing Machines - Standard Turing Machine, Robustness of Turing Machine, Universal Turing 
Machine, Halting Problem, Recursive and Recursively Enumerable Languages. 
Chomsky classification of formal languages.",,
S5,8,CST303,Computer Networks,Introduction and Physical Layer,"Introduction – Uses of computer networks, Network hardware, Network software. Reference 
models – The OSI reference model, The TCP/IP reference model, Comparison of OSI and 
TCP/IP reference models. 
Physical Layer – Modes of communication, Physical topologies, Signal encoding, Repeaters and 
hub, Transmission media overview. Performance indicators – Bandwidth, Throughput, Latency, 
Queuing time, Bandwidth–Delay product. ",Data Link Layer,"Data link layer - Data link layer design issues, Error detection and correction, Sliding window 
protocols, High-Level Data Link Control(HDLC)protocol. Medium Access Control (MAC) 
sublayer –Channel allocation problem, Multiple access protocols, Ethernet, Wireless LANs - 
802.11, Bridges & switches - Bridges from 802.x to 802.y, Repeaters, Hubs, Bridges, Switches, 
Routers and Gateways. 
Module - 3 (Network Layer)
Network layer design issues. Routing algorithms - The Optimality Principle, Shortest path 
routing, Flooding, Distance Vector Routing, Link State Routing, Multicast routing, Routing for 
mobile hosts. Congestion control algorithms. Quality of Service (QoS) - requirements,
Techniques for achieving good QoS. 
Module - 4 (Network Layer in the Internet)
IP protocol, IP addresses, Internet Control Message Protocol (ICMP), Address Resolution 
Protocol (ARP), Reverse Address Resolution Protocol (RARP), Bootstrap Protocol (BOOTP), 
Dynamic Host Configuration Protocol (DHCP). Open Shortest Path First(OSPF) Protocol, 
Border Gateway Protocol (BGP), Internet multicasting, IPv6, ICMPv6. 
Module – 5 (Transport Layer and Application Layer) 
Transport service – Services provided to the upper layers, Transport service primitives. User 
Datagram Protocol (UDP). Transmission Control Protocol (TCP) – Overview of TCP, TCP 
segment header, Connection establishment &release, Connection management modeling, TCP 
retransmission policy, TCP congestion control. 
Application Layer –File Transfer Protocol (FTP), Domain Name System (DNS), Electronic 
mail, Multipurpose Internet Mail Extension (MIME), Simple Network Management Protocol
",Network Layer,"Network layer design issues. Routing algorithms - The Optimality Principle, Shortest path 
routing, Flooding, Distance Vector Routing, Link State Routing, Multicast routing, Routing for 
mobile hosts. Congestion control algorithms. Quality of Service (QoS) - requirements,
Techniques for achieving good QoS. 
",Network Layer in the Internet,"IP protocol, IP addresses, Internet Control Message Protocol (ICMP), Address Resolution 
Protocol (ARP), Reverse Address Resolution Protocol (RARP), Bootstrap Protocol (BOOTP), 
Dynamic Host Configuration Protocol (DHCP). Open Shortest Path First(OSPF) Protocol, 
Border Gateway Protocol (BGP), Internet multicasting, IPv6, ICMPv6. ",Transport Layer and Application Layer,"
Transport service – Services provided to the upper layers, Transport service primitives. User 
Datagram Protocol (UDP). Transmission Control Protocol (TCP) – Overview of TCP, TCP 
segment header, Connection establishment &release, Connection management modeling, TCP 
retransmission policy, TCP congestion control. 
Application Layer –File Transfer Protocol (FTP), Domain Name System (DNS), Electronic 
mail, Multipurpose Internet Mail Extension (MIME), Simple Network Management Protocol  (SNMP), World Wide Web(WWW) – Architectural overview",,
S5,9,CST305,System software,Introduction,"System Software vs Application Software, Different System Software– Assembler, Linker, 
Loader, Macro Processor, Text Editor, Debugger, Device Driver, Compiler, Interpreter, 
Operating System (Basic Concepts only). SIC & SIC/XE Architecture, Addressing modes, SIC & 
SIC/XE Instruction set , Assembler Directives.",Assembly language programming and Assemblers,"SIC/XE Programming, Basic Functions of Assembler, Assembler Output Format – Header, Text 
and End Records. Assembler Data Structures, Two Pass Assembler Algorithm, Hand Assembly 
of SIC/XE Programs.",Assembler Features and Design Options,"Machine Dependent Assembler Features-Instruction Format and Addressing Modes, Program 
Relocation. Machine Independent Assembler Features –Literals, Symbol Defining Statements, 
Expressions, Program Blocks, Control Sections and Program Linking. Assembler Design 
Options- One Pass Assembler, Multi Pass Assembler. Implementation Example-MASM 
Assembler.
",Loader and Linker,"
Basic Loader Functions - Design of Absolute Loader, Simple Bootstrap Loader. Machine 
Dependent Loader Features- Relocation, Program Linking, Algorithm and Data Structures of 
Two Pass Linking Loader. Machine Independent Loader Features -Automatic Library Search, 
Loader Options. Loader Design Options.
","Macro Preprocessor ,Device driver, Text Editor and Debuggers ","
Macro Preprocessor - Macro Instruction Definition and Expansion, One pass Macro processor 
Algorithm and data structures, Machine Independent Macro Processor Features, Macro processor 
design options. Device drivers - Anatomy of a device driver, Character and block device drivers, 
General design of device drivers. Text Editors- Overview of Editing, User Interface, Editor Structure. Debuggers - Debugging Functions and Capabilities, Relationship with other parts of 
the system, Debugging Methods- By Induction, Deduction and Backtracking.
",,
S5,10,CST307,Microprocessor  and Microcontrollers,Evolution of microprocessors,"8085 microprocessor (-Basic Architecture only). 8086 microprocessor – Architecture and 
signals, Physical Memory organization, Minimum and maximum mode of 8086 system 
and timings. Comparison of 8086 and 8088.Machine language Instruction format. ",Addressing modes and instructions,"Addressing Modes of 8086. Instruction set – data copy /transfer instructions, arithmetic 
instructions, logical instructions, string manipulation instructions, branch instructions, 
unconditional and conditional branch instruction, flag manipulation and processor control 
instructions. Assembler Directives and operators. Assembly Language Programming with 
8086. ",Stack and interrupts,"Stack structure of 8086, programming using stack- Interrupts - Types of Interrupts and 
Interrupt Service Routine- Handling Interrupts in 8086- Interrupt programming.Programmable Interrupt Controller - 8259, Architecture (Just mention the control word, no 
need to memorize the control word)- Interfacing Memory with 8086.
",Interfacing chips,"Programmable Peripheral Input/output port 8255 - Architecture and modes of operation-
Programmable interval timer 8254-Architecture and modes of operation- DMA controller 
8257 Architecture (Just mention the control word, no need to memorize the control word 
of 8254 and 8257) 
",Microcontrollers,"
8051 Architecture- Register Organization- Memory and I/O addressing- Interrupts and 
Stack- 8051 Addressing Modes- Instruction Set- data transfer instructions, arithmetic 
instructions, logical instructions, Boolean instructions, control transfer instructions-
Simple programs.",,
S5,11,CST309,Management of software systems,Introduction to Software Engineering,"Introduction to Software Engineering - Professional software development, Software engineering 
ethics. Software process models - The waterfall model, Incremental development. Process 
activities - Software specification, Software design and implementation, Software validation, 
Software evolution. Coping with change - Prototyping, Incremental delivery, Boehm's Spiral 
Model. Agile software development - Agile methods, agile manifesto - values and principles. 
Agile development techniques, Agile Project Management. Case studies : An insulin pump 
control system. Mentcare - a patient information system for mental health care.", Requirement Analysis and Design,"Functional and non-functional requirements, Requirements engineering processes. Requirements 
elicitation, Requirements validation, Requirements change, Traceability Matrix. Developing use 
cases, Software Requirements Specification Template, Personas, Scenarios, User stories, Feature 
identification. Design concepts - Design within the context of software engineering, Design 
Process, Design concepts, Design Model. Architectural Design - Software Architecture, 
Architectural Styles, Architectural considerations, Architectural Design Component level design 
- What is a component?, Designing Class-Based Components, Conducting Component level 
design, Component level design for web-apps. Template of a Design Document as per “IEEE Std 
1016-2009 IEEE Standard for Information Technology Systems Design Software  Design Descriptions"".Case study:The Ariane 5 launcher failure",Implementation and Testing,"Object-oriented design using the UML, Design patterns, Implementation issues, Open-source 
development - Open-source licensing - GPL, LGPL, BSD. Review Techniques - Cost impact of 
Software Defects, Code review and statistical analysis. Informal Review, Formal Technical 
Reviews, Post-mortem evaluations. Software testing strategies - Unit Testing, Integration 
Testing, Validation testing, System testing, Debugging, White box testing, Path testing, Control 
Structure testing, Black box testing, Testing Documentation and Help facilities. Test automation, 
Test-driven development, Security testing. Overview of DevOps and Code Management - Code 
management, DevOps automation, Continuous Integration, Delivery, and Deployment 
(CI/CD/CD). Software Evolution - Evolution processes, Software maintenance.

",Software Project Management,"
